,path,tru,gac,sax,cel,flu,gel,vio,cla,pia,org,voi
23,IRMAS_Training_Data/tru/[tru][cla]1906__1.wav,1,0,0,0,0,0,0,0,0,0,0
24,IRMAS_Training_Data/tru/[tru][pop_roc]2002__3.wav,1,0,0,0,0,0,0,0,0,0,0
25,IRMAS_Training_Data/tru/[tru][pop_roc]1950__1.wav,1,0,0,0,0,0,0,0,0,0,0
26,IRMAS_Training_Data/tru/[tru][jaz_blu]2031__2.wav,1,0,0,0,0,0,0,0,0,0,0
27,IRMAS_Training_Data/tru/[tru][jaz_blu]1884__1.wav,1,0,0,0,0,0,0,0,0,0,0
28,IRMAS_Training_Data/tru/[tru][cla]2013__1.wav,1,0,0,0,0,0,0,0,0,0,0
29,IRMAS_Training_Data/tru/[tru][cla]1898__3.wav,1,0,0,0,0,0,0,0,0,0,0
30,IRMAS_Training_Data/tru/[tru][pop_roc]1900__3.wav,1,0,0,0,0,0,0,0,0,0,0
31,IRMAS_Training_Data/tru/[tru][jaz_blu]1927__1.wav,1,0,0,0,0,0,0,0,0,0,0
32,IRMAS_Training_Data/tru/205__[tru][---][jaz_blu]1987__1.wav,1,0,0,0,0,0,0,0,0,0,0
33,IRMAS_Training_Data/tru/[tru][pop_roc]2046__1.wav,1,0,0,0,0,0,0,0,0,0,0
34,IRMAS_Training_Data/tru/[tru][cla]1873__1.wav,1,0,0,0,0,0,0,0,0,0,0
35,IRMAS_Training_Data/tru/[tru][jaz_blu]1948__3.wav,1,0,0,0,0,0,0,0,0,0,0
36,IRMAS_Training_Data/tru/[tru][jaz_blu]2021__1.wav,1,0,0,0,0,0,0,0,0,0,0
37,IRMAS_Training_Data/tru/[tru][cla]1876__2.wav,1,0,0,0,0,0,0,0,0,0,0
38,IRMAS_Training_Data/tru/[tru][pop_roc]2038__3.wav,1,0,0,0,0,0,0,0,0,0,0
39,IRMAS_Training_Data/tru/[tru][cla]2058__3.wav,1,0,0,0,0,0,0,0,0,0,0
40,IRMAS_Training_Data/tru/[tru][cla]1977__1.wav,1,0,0,0,0,0,0,0,0,0,0
41,IRMAS_Training_Data/tru/[tru][pop_roc]1922__2.wav,1,0,0,0,0,0,0,0,0,0,0
42,IRMAS_Training_Data/tru/[tru][jaz_blu]2063__1.wav,1,0,0,0,0,0,0,0,0,0,0
43,IRMAS_Training_Data/tru/051__[tru][nod][jaz_blu]1989__1.wav,1,0,0,0,0,0,0,0,0,0,0
44,IRMAS_Training_Data/tru/[tru][jaz_blu]2024__3.wav,1,0,0,0,0,0,0,0,0,0,0
45,IRMAS_Training_Data/tru/[tru][pop_roc]2078__2.wav,1,0,0,0,0,0,0,0,0,0,0
46,IRMAS_Training_Data/tru/[tru][cla]1886__1.wav,1,0,0,0,0,0,0,0,0,0,0
47,IRMAS_Training_Data/tru/[tru][jaz_blu]1946__1.wav,1,0,0,0,0,0,0,0,0,0,0
48,IRMAS_Training_Data/tru/205__[tru][---][jaz_blu]1987__3.wav,1,0,0,0,0,0,0,0,0,0,0
49,IRMAS_Training_Data/tru/[tru][cla]2008__3.wav,1,0,0,0,0,0,0,0,0,0,0
50,IRMAS_Training_Data/tru/[tru][pop_roc]1968__3.wav,1,0,0,0,0,0,0,0,0,0,0
51,IRMAS_Training_Data/tru/[tru][pop_roc]1970__1.wav,1,0,0,0,0,0,0,0,0,0,0
52,IRMAS_Training_Data/tru/[tru][jaz_blu]2064__3.wav,1,0,0,0,0,0,0,0,0,0,0
53,IRMAS_Training_Data/tru/[tru][cla]1894__3.wav,1,0,0,0,0,0,0,0,0,0,0
54,IRMAS_Training_Data/tru/[tru][pop_roc]1996__3.wav,1,0,0,0,0,0,0,0,0,0,0
55,IRMAS_Training_Data/tru/[tru][jaz_blu]2056__3.wav,1,0,0,0,0,0,0,0,0,0,0
56,IRMAS_Training_Data/tru/[tru][jaz_blu]2057__3.wav,1,0,0,0,0,0,0,0,0,0,0
57,IRMAS_Training_Data/tru/[tru][jaz_blu]2031__1.wav,1,0,0,0,0,0,0,0,0,0,0
58,IRMAS_Training_Data/tru/[tru][jaz_blu]1960__1.wav,1,0,0,0,0,0,0,0,0,0,0
59,IRMAS_Training_Data/tru/[tru][pop_roc]1981__2.wav,1,0,0,0,0,0,0,0,0,0,0
60,IRMAS_Training_Data/tru/[tru][cla]1872__2.wav,1,0,0,0,0,0,0,0,0,0,0
61,IRMAS_Training_Data/tru/[tru][pop_roc]1910__1.wav,1,0,0,0,0,0,0,0,0,0,0
62,IRMAS_Training_Data/tru/[tru][cla]2051__2.wav,1,0,0,0,0,0,0,0,0,0,0
63,IRMAS_Training_Data/tru/[tru][cla]2013__3.wav,1,0,0,0,0,0,0,0,0,0,0
64,IRMAS_Training_Data/tru/[tru][cla]1886__3.wav,1,0,0,0,0,0,0,0,0,0,0
65,IRMAS_Training_Data/tru/[tru][pop_roc]2037__3.wav,1,0,0,0,0,0,0,0,0,0,0
66,IRMAS_Training_Data/tru/[tru][jaz_blu]1927__3.wav,1,0,0,0,0,0,0,0,0,0,0
67,IRMAS_Training_Data/tru/144__[tru][dru][jaz_blu]1983__3.wav,1,0,0,0,0,0,0,0,0,0,0
68,IRMAS_Training_Data/tru/[tru][cla]2055__3.wav,1,0,0,0,0,0,0,0,0,0,0
69,IRMAS_Training_Data/tru/[tru][jaz_blu]2030__3.wav,1,0,0,0,0,0,0,0,0,0,0
70,IRMAS_Training_Data/tru/[tru][jaz_blu]1997__2.wav,1,0,0,0,0,0,0,0,0,0,0
71,IRMAS_Training_Data/tru/[tru][jaz_blu]2024__2.wav,1,0,0,0,0,0,0,0,0,0,0
72,IRMAS_Training_Data/tru/203__[tru][dru][pop_roc]1992__3.wav,1,0,0,0,0,0,0,0,0,0,0
73,IRMAS_Training_Data/tru/[tru][pop_roc]2041__3.wav,1,0,0,0,0,0,0,0,0,0,0
74,IRMAS_Training_Data/tru/[tru][jaz_blu]1935__2.wav,1,0,0,0,0,0,0,0,0,0,0
75,IRMAS_Training_Data/tru/[tru][jaz_blu]1916__2.wav,1,0,0,0,0,0,0,0,0,0,0
76,IRMAS_Training_Data/tru/[tru][pop_roc]1921__2.wav,1,0,0,0,0,0,0,0,0,0,0
77,IRMAS_Training_Data/tru/[tru][pop_roc]1902__3.wav,1,0,0,0,0,0,0,0,0,0,0
78,IRMAS_Training_Data/tru/[tru][pop_roc]2071__1.wav,1,0,0,0,0,0,0,0,0,0,0
79,IRMAS_Training_Data/tru/[tru][cla]2007__1.wav,1,0,0,0,0,0,0,0,0,0,0
80,IRMAS_Training_Data/tru/[tru][jaz_blu]2072__1.wav,1,0,0,0,0,0,0,0,0,0,0
81,IRMAS_Training_Data/tru/[tru][cla]2007__3.wav,1,0,0,0,0,0,0,0,0,0,0
82,IRMAS_Training_Data/tru/[tru][jaz_blu]2000__2.wav,1,0,0,0,0,0,0,0,0,0,0
83,IRMAS_Training_Data/tru/[tru][jaz_blu]1967__3.wav,1,0,0,0,0,0,0,0,0,0,0
84,IRMAS_Training_Data/tru/[tru][jaz_blu]1975__3.wav,1,0,0,0,0,0,0,0,0,0,0
85,IRMAS_Training_Data/tru/[tru][pop_roc]1996__2.wav,1,0,0,0,0,0,0,0,0,0,0
86,IRMAS_Training_Data/tru/203__[tru][dru][pop_roc]1992__2.wav,1,0,0,0,0,0,0,0,0,0,0
87,IRMAS_Training_Data/tru/[tru][pop_roc]1882__1.wav,1,0,0,0,0,0,0,0,0,0,0
88,IRMAS_Training_Data/tru/[tru][cla]2062__1.wav,1,0,0,0,0,0,0,0,0,0,0
89,IRMAS_Training_Data/tru/[tru][cla]2012__3.wav,1,0,0,0,0,0,0,0,0,0,0
90,IRMAS_Training_Data/tru/[tru][jaz_blu]1934__2.wav,1,0,0,0,0,0,0,0,0,0,0
91,IRMAS_Training_Data/tru/[tru][cla]2012__2.wav,1,0,0,0,0,0,0,0,0,0,0
92,IRMAS_Training_Data/tru/[tru][jaz_blu]2030__1.wav,1,0,0,0,0,0,0,0,0,0,0
93,IRMAS_Training_Data/tru/[tru][pop_roc]1920__1.wav,1,0,0,0,0,0,0,0,0,0,0
94,IRMAS_Training_Data/tru/[tru][pop_roc]1944__1.wav,1,0,0,0,0,0,0,0,0,0,0
95,IRMAS_Training_Data/tru/[tru][pop_roc]2078__1.wav,1,0,0,0,0,0,0,0,0,0,0
96,IRMAS_Training_Data/tru/[tru][jaz_blu]1957__1.wav,1,0,0,0,0,0,0,0,0,0,0
97,IRMAS_Training_Data/tru/[tru][pop_roc]1882__2.wav,1,0,0,0,0,0,0,0,0,0,0
98,IRMAS_Training_Data/tru/[tru][cla]1938__3.wav,1,0,0,0,0,0,0,0,0,0,0
99,IRMAS_Training_Data/tru/[tru][cla]1881__1.wav,1,0,0,0,0,0,0,0,0,0,0
100,IRMAS_Training_Data/tru/[tru][cla]1870__3.wav,1,0,0,0,0,0,0,0,0,0,0
101,IRMAS_Training_Data/tru/[tru][cla]2015__2.wav,1,0,0,0,0,0,0,0,0,0,0
102,IRMAS_Training_Data/tru/[tru][cla]1913__1.wav,1,0,0,0,0,0,0,0,0,0,0
103,IRMAS_Training_Data/tru/[tru][pop_roc]1896__1.wav,1,0,0,0,0,0,0,0,0,0,0
104,IRMAS_Training_Data/tru/[tru][cla]1879__3.wav,1,0,0,0,0,0,0,0,0,0,0
105,IRMAS_Training_Data/tru/[tru][pop_roc]1941__2.wav,1,0,0,0,0,0,0,0,0,0,0
106,IRMAS_Training_Data/tru/[tru][cla]1930__1.wav,1,0,0,0,0,0,0,0,0,0,0
107,IRMAS_Training_Data/tru/104__[tru][dru][jaz_blu]1985__3.wav,1,0,0,0,0,0,0,0,0,0,0
108,IRMAS_Training_Data/tru/[tru][cla]1879__2.wav,1,0,0,0,0,0,0,0,0,0,0
109,IRMAS_Training_Data/tru/[tru][jaz_blu]1942__1.wav,1,0,0,0,0,0,0,0,0,0,0
110,IRMAS_Training_Data/tru/[tru][pop_roc]2050__3.wav,1,0,0,0,0,0,0,0,0,0,0
111,IRMAS_Training_Data/tru/[tru][cla]2004__1.wav,1,0,0,0,0,0,0,0,0,0,0
112,IRMAS_Training_Data/tru/[tru][jaz_blu]1916__3.wav,1,0,0,0,0,0,0,0,0,0,0
113,IRMAS_Training_Data/tru/[tru][pop_roc]1994__1.wav,1,0,0,0,0,0,0,0,0,0,0
114,IRMAS_Training_Data/tru/[tru][jaz_blu]1960__2.wav,1,0,0,0,0,0,0,0,0,0,0
115,IRMAS_Training_Data/tru/[tru][jaz_blu]1925__1.wav,1,0,0,0,0,0,0,0,0,0,0
116,IRMAS_Training_Data/tru/[tru][jaz_blu]1899__3.wav,1,0,0,0,0,0,0,0,0,0,0
117,IRMAS_Training_Data/tru/[tru][jaz_blu]2057__1.wav,1,0,0,0,0,0,0,0,0,0,0
118,IRMAS_Training_Data/tru/[tru][jaz_blu]1897__2.wav,1,0,0,0,0,0,0,0,0,0,0
119,IRMAS_Training_Data/tru/[tru][jaz_blu]1905__2.wav,1,0,0,0,0,0,0,0,0,0,0
120,IRMAS_Training_Data/tru/[tru][cla]2010__2.wav,1,0,0,0,0,0,0,0,0,0,0
121,IRMAS_Training_Data/tru/[tru][pop_roc]1999__3.wav,1,0,0,0,0,0,0,0,0,0,0
122,IRMAS_Training_Data/tru/[tru][jaz_blu]1905__1.wav,1,0,0,0,0,0,0,0,0,0,0
123,IRMAS_Training_Data/tru/[tru][jaz_blu]1966__3.wav,1,0,0,0,0,0,0,0,0,0,0
124,IRMAS_Training_Data/tru/[tru][cla]2060__1.wav,1,0,0,0,0,0,0,0,0,0,0
125,IRMAS_Training_Data/tru/[tru][pop_roc]1902__2.wav,1,0,0,0,0,0,0,0,0,0,0
126,IRMAS_Training_Data/tru/[tru][jaz_blu]1932__1.wav,1,0,0,0,0,0,0,0,0,0,0
127,IRMAS_Training_Data/tru/[tru][pop_roc]1950__2.wav,1,0,0,0,0,0,0,0,0,0,0
128,IRMAS_Training_Data/tru/[tru][jaz_blu]2018__3.wav,1,0,0,0,0,0,0,0,0,0,0
129,IRMAS_Training_Data/tru/[tru][cla]1893__2.wav,1,0,0,0,0,0,0,0,0,0,0
130,IRMAS_Training_Data/tru/[tru][pop_roc]1995__1.wav,1,0,0,0,0,0,0,0,0,0,0
131,IRMAS_Training_Data/tru/[tru][pop_roc]2042__2.wav,1,0,0,0,0,0,0,0,0,0,0
132,IRMAS_Training_Data/tru/[tru][jaz_blu]1888__2.wav,1,0,0,0,0,0,0,0,0,0,0
133,IRMAS_Training_Data/tru/[tru][jaz_blu]1997__1.wav,1,0,0,0,0,0,0,0,0,0,0
134,IRMAS_Training_Data/tru/[tru][cla]2033__2.wav,1,0,0,0,0,0,0,0,0,0,0
135,IRMAS_Training_Data/tru/[tru][cla]2010__1.wav,1,0,0,0,0,0,0,0,0,0,0
136,IRMAS_Training_Data/tru/[tru][pop_roc]2047__3.wav,1,0,0,0,0,0,0,0,0,0,0
137,IRMAS_Training_Data/tru/[tru][jaz_blu]1956__1.wav,1,0,0,0,0,0,0,0,0,0,0
138,IRMAS_Training_Data/tru/[tru][pop_roc]1937__1.wav,1,0,0,0,0,0,0,0,0,0,0
139,IRMAS_Training_Data/tru/[tru][cla]1938__1.wav,1,0,0,0,0,0,0,0,0,0,0
140,IRMAS_Training_Data/tru/[tru][jaz_blu]2056__2.wav,1,0,0,0,0,0,0,0,0,0,0
141,IRMAS_Training_Data/tru/[tru][jaz_blu]1946__3.wav,1,0,0,0,0,0,0,0,0,0,0
142,IRMAS_Training_Data/tru/[tru][cla]2005__1.wav,1,0,0,0,0,0,0,0,0,0,0
143,IRMAS_Training_Data/tru/[tru][cla]1939__2.wav,1,0,0,0,0,0,0,0,0,0,0
144,IRMAS_Training_Data/tru/[tru][cla]1929__1.wav,1,0,0,0,0,0,0,0,0,0,0
145,IRMAS_Training_Data/tru/141__[tru][dru][jaz_blu]1982__1.wav,1,0,0,0,0,0,0,0,0,0,0
146,IRMAS_Training_Data/tru/[tru][jaz_blu]2000__3.wav,1,0,0,0,0,0,0,0,0,0,0
147,IRMAS_Training_Data/tru/[tru][jaz_blu]1875__3.wav,1,0,0,0,0,0,0,0,0,0,0
148,IRMAS_Training_Data/tru/[tru][jaz_blu]1880__1.wav,1,0,0,0,0,0,0,0,0,0,0
149,IRMAS_Training_Data/tru/[tru][pop_roc]1901__1.wav,1,0,0,0,0,0,0,0,0,0,0
150,IRMAS_Training_Data/tru/[tru][cla]1954__3.wav,1,0,0,0,0,0,0,0,0,0,0
151,IRMAS_Training_Data/tru/[tru][jaz_blu]2017__1.wav,1,0,0,0,0,0,0,0,0,0,0
152,IRMAS_Training_Data/tru/[tru][jaz_blu]2026__2.wav,1,0,0,0,0,0,0,0,0,0,0
153,IRMAS_Training_Data/tru/[tru][cla]2033__1.wav,1,0,0,0,0,0,0,0,0,0,0
154,IRMAS_Training_Data/tru/[tru][jaz_blu]1932__3.wav,1,0,0,0,0,0,0,0,0,0,0
155,IRMAS_Training_Data/tru/[tru][pop_roc]1901__2.wav,1,0,0,0,0,0,0,0,0,0,0
156,IRMAS_Training_Data/tru/[tru][jaz_blu]1963__1.wav,1,0,0,0,0,0,0,0,0,0,0
157,IRMAS_Training_Data/tru/[tru][jaz_blu]1936__3.wav,1,0,0,0,0,0,0,0,0,0,0
158,IRMAS_Training_Data/tru/[tru][jaz_blu]1973__2.wav,1,0,0,0,0,0,0,0,0,0,0
159,IRMAS_Training_Data/tru/[tru][pop_roc]1959__3.wav,1,0,0,0,0,0,0,0,0,0,0
160,IRMAS_Training_Data/tru/[tru][jaz_blu]1925__2.wav,1,0,0,0,0,0,0,0,0,0,0
161,IRMAS_Training_Data/tru/[tru][jaz_blu]1974__1.wav,1,0,0,0,0,0,0,0,0,0,0
162,IRMAS_Training_Data/tru/[tru][jaz_blu]1967__1.wav,1,0,0,0,0,0,0,0,0,0,0
163,IRMAS_Training_Data/tru/[tru][jaz_blu]2072__2.wav,1,0,0,0,0,0,0,0,0,0,0
164,IRMAS_Training_Data/tru/[tru][pop_roc]2038__1.wav,1,0,0,0,0,0,0,0,0,0,0
165,IRMAS_Training_Data/tru/[tru][jaz_blu]1952__2.wav,1,0,0,0,0,0,0,0,0,0,0
166,IRMAS_Training_Data/tru/[tru][pop_roc]1958__1.wav,1,0,0,0,0,0,0,0,0,0,0
167,IRMAS_Training_Data/tru/[tru][pop_roc]1900__2.wav,1,0,0,0,0,0,0,0,0,0,0
168,IRMAS_Training_Data/tru/[tru][jaz_blu]2026__3.wav,1,0,0,0,0,0,0,0,0,0,0
169,IRMAS_Training_Data/tru/[tru][pop_roc]1920__2.wav,1,0,0,0,0,0,0,0,0,0,0
170,IRMAS_Training_Data/tru/[tru][pop_roc]1998__2.wav,1,0,0,0,0,0,0,0,0,0,0
171,IRMAS_Training_Data/tru/167__[tru][dru][jaz_blu]1984__1.wav,1,0,0,0,0,0,0,0,0,0,0
172,IRMAS_Training_Data/tru/[tru][cla]2004__2.wav,1,0,0,0,0,0,0,0,0,0,0
173,IRMAS_Training_Data/tru/[tru][cla]1872__1.wav,1,0,0,0,0,0,0,0,0,0,0
174,IRMAS_Training_Data/tru/[tru][pop_roc]2066__2.wav,1,0,0,0,0,0,0,0,0,0,0
175,IRMAS_Training_Data/tru/[tru][jaz_blu]1979__3.wav,1,0,0,0,0,0,0,0,0,0,0
176,IRMAS_Training_Data/tru/[tru][cla]1873__2.wav,1,0,0,0,0,0,0,0,0,0,0
177,IRMAS_Training_Data/tru/[tru][jaz_blu]1960__3.wav,1,0,0,0,0,0,0,0,0,0,0
178,IRMAS_Training_Data/tru/[tru][pop_roc]2071__3.wav,1,0,0,0,0,0,0,0,0,0,0
179,IRMAS_Training_Data/tru/[tru][pop_roc]2044__3.wav,1,0,0,0,0,0,0,0,0,0,0
180,IRMAS_Training_Data/tru/[tru][cla]1903__3.wav,1,0,0,0,0,0,0,0,0,0,0
181,IRMAS_Training_Data/tru/[tru][cla]1903__2.wav,1,0,0,0,0,0,0,0,0,0,0
182,IRMAS_Training_Data/tru/[tru][pop_roc]2050__2.wav,1,0,0,0,0,0,0,0,0,0,0
183,IRMAS_Training_Data/tru/[tru][jaz_blu]1889__3.wav,1,0,0,0,0,0,0,0,0,0,0
184,IRMAS_Training_Data/tru/[tru][jaz_blu]2021__2.wav,1,0,0,0,0,0,0,0,0,0,0
185,IRMAS_Training_Data/tru/167__[tru][dru][jaz_blu]1984__2.wav,1,0,0,0,0,0,0,0,0,0,0
186,IRMAS_Training_Data/tru/[tru][pop_roc]1937__3.wav,1,0,0,0,0,0,0,0,0,0,0
187,IRMAS_Training_Data/tru/[tru][pop_roc]1921__1.wav,1,0,0,0,0,0,0,0,0,0,0
188,IRMAS_Training_Data/tru/[tru][cla]2054__2.wav,1,0,0,0,0,0,0,0,0,0,0
189,IRMAS_Training_Data/tru/[tru][jaz_blu]2023__3.wav,1,0,0,0,0,0,0,0,0,0,0
190,IRMAS_Training_Data/tru/[tru][jaz_blu]1946__2.wav,1,0,0,0,0,0,0,0,0,0,0
191,IRMAS_Training_Data/tru/[tru][cla]2008__1.wav,1,0,0,0,0,0,0,0,0,0,0
192,IRMAS_Training_Data/tru/[tru][jaz_blu]1997__3.wav,1,0,0,0,0,0,0,0,0,0,0
193,IRMAS_Training_Data/tru/[tru][cla]1903__1.wav,1,0,0,0,0,0,0,0,0,0,0
194,IRMAS_Training_Data/tru/[tru][jaz_blu]2020__3.wav,1,0,0,0,0,0,0,0,0,0,0
195,IRMAS_Training_Data/tru/[tru][cla]1929__3.wav,1,0,0,0,0,0,0,0,0,0,0
196,IRMAS_Training_Data/tru/[tru][cla]1911__1.wav,1,0,0,0,0,0,0,0,0,0,0
197,IRMAS_Training_Data/tru/[tru][jaz_blu]1948__1.wav,1,0,0,0,0,0,0,0,0,0,0
198,IRMAS_Training_Data/tru/[tru][cla]2051__3.wav,1,0,0,0,0,0,0,0,0,0,0
199,IRMAS_Training_Data/tru/[tru][cla]2005__3.wav,1,0,0,0,0,0,0,0,0,0,0
200,IRMAS_Training_Data/tru/[tru][cla]2016__1.wav,1,0,0,0,0,0,0,0,0,0,0
201,IRMAS_Training_Data/tru/055__[tru][dru][jaz_blu]1988__1.wav,1,0,0,0,0,0,0,0,0,0,0
202,IRMAS_Training_Data/tru/[tru][cla]1909__1.wav,1,0,0,0,0,0,0,0,0,0,0
203,IRMAS_Training_Data/tru/[tru][jaz_blu]2064__1.wav,1,0,0,0,0,0,0,0,0,0,0
204,IRMAS_Training_Data/tru/[tru][pop_roc]2049__3.wav,1,0,0,0,0,0,0,0,0,0,0
205,IRMAS_Training_Data/tru/[tru][pop_roc]1921__3.wav,1,0,0,0,0,0,0,0,0,0,0
206,IRMAS_Training_Data/tru/[tru][cla]2060__2.wav,1,0,0,0,0,0,0,0,0,0,0
207,IRMAS_Training_Data/tru/[tru][jaz_blu]2020__1.wav,1,0,0,0,0,0,0,0,0,0,0
208,IRMAS_Training_Data/tru/[tru][cla]1885__1.wav,1,0,0,0,0,0,0,0,0,0,0
209,IRMAS_Training_Data/tru/[tru][cla]2034__1.wav,1,0,0,0,0,0,0,0,0,0,0
210,IRMAS_Training_Data/tru/[tru][cla]1940__2.wav,1,0,0,0,0,0,0,0,0,0,0
211,IRMAS_Training_Data/tru/[tru][jaz_blu]2057__2.wav,1,0,0,0,0,0,0,0,0,0,0
212,IRMAS_Training_Data/tru/[tru][jaz_blu]2026__1.wav,1,0,0,0,0,0,0,0,0,0,0
213,IRMAS_Training_Data/tru/[tru][jaz_blu]1915__2.wav,1,0,0,0,0,0,0,0,0,0,0
214,IRMAS_Training_Data/tru/[tru][jaz_blu]1971__1.wav,1,0,0,0,0,0,0,0,0,0,0
215,IRMAS_Training_Data/tru/[tru][jaz_blu]1926__3.wav,1,0,0,0,0,0,0,0,0,0,0
216,IRMAS_Training_Data/tru/[tru][cla]1907__3.wav,1,0,0,0,0,0,0,0,0,0,0
217,IRMAS_Training_Data/tru/[tru][jaz_blu]1966__2.wav,1,0,0,0,0,0,0,0,0,0,0
218,IRMAS_Training_Data/tru/[tru][jaz_blu]1963__3.wav,1,0,0,0,0,0,0,0,0,0,0
219,IRMAS_Training_Data/tru/[tru][cla]2009__2.wav,1,0,0,0,0,0,0,0,0,0,0
220,IRMAS_Training_Data/tru/[tru][jaz_blu]1880__3.wav,1,0,0,0,0,0,0,0,0,0,0
221,IRMAS_Training_Data/tru/[tru][jaz_blu]1949__1.wav,1,0,0,0,0,0,0,0,0,0,0
222,IRMAS_Training_Data/tru/[tru][pop_roc]2040__1.wav,1,0,0,0,0,0,0,0,0,0,0
223,IRMAS_Training_Data/tru/[tru][jaz_blu]1915__3.wav,1,0,0,0,0,0,0,0,0,0,0
224,IRMAS_Training_Data/tru/[tru][cla]1898__2.wav,1,0,0,0,0,0,0,0,0,0,0
225,IRMAS_Training_Data/tru/[tru][cla]2060__3.wav,1,0,0,0,0,0,0,0,0,0,0
226,IRMAS_Training_Data/tru/[tru][pop_roc]2045__3.wav,1,0,0,0,0,0,0,0,0,0,0
227,IRMAS_Training_Data/tru/167__[tru][dru][jaz_blu]1984__3.wav,1,0,0,0,0,0,0,0,0,0,0
228,IRMAS_Training_Data/tru/205__[tru][---][jaz_blu]1987__2.wav,1,0,0,0,0,0,0,0,0,0,0
229,IRMAS_Training_Data/tru/[tru][jaz_blu]1905__3.wav,1,0,0,0,0,0,0,0,0,0,0
230,IRMAS_Training_Data/tru/[tru][jaz_blu]2000__1.wav,1,0,0,0,0,0,0,0,0,0,0
231,IRMAS_Training_Data/tru/[tru][cla]1939__3.wav,1,0,0,0,0,0,0,0,0,0,0
232,IRMAS_Training_Data/tru/[tru][pop_roc]2002__1.wav,1,0,0,0,0,0,0,0,0,0,0
233,IRMAS_Training_Data/tru/[tru][jaz_blu]1949__3.wav,1,0,0,0,0,0,0,0,0,0,0
234,IRMAS_Training_Data/tru/[tru][cla]2006__1.wav,1,0,0,0,0,0,0,0,0,0,0
235,IRMAS_Training_Data/tru/[tru][cla]1909__3.wav,1,0,0,0,0,0,0,0,0,0,0
236,IRMAS_Training_Data/tru/[tru][jaz_blu]2027__3.wav,1,0,0,0,0,0,0,0,0,0,0
237,IRMAS_Training_Data/tru/[tru][jaz_blu]1875__2.wav,1,0,0,0,0,0,0,0,0,0,0
238,IRMAS_Training_Data/tru/[tru][pop_roc]2048__2.wav,1,0,0,0,0,0,0,0,0,0,0
239,IRMAS_Training_Data/tru/[tru][pop_roc]1931__3.wav,1,0,0,0,0,0,0,0,0,0,0
240,IRMAS_Training_Data/tru/[tru][pop_roc]1958__3.wav,1,0,0,0,0,0,0,0,0,0,0
241,IRMAS_Training_Data/tru/[tru][jaz_blu]2022__2.wav,1,0,0,0,0,0,0,0,0,0,0
242,IRMAS_Training_Data/tru/[tru][pop_roc]1995__2.wav,1,0,0,0,0,0,0,0,0,0,0
243,IRMAS_Training_Data/tru/[tru][jaz_blu]2001__1.wav,1,0,0,0,0,0,0,0,0,0,0
244,IRMAS_Training_Data/tru/[tru][cla]1886__2.wav,1,0,0,0,0,0,0,0,0,0,0
